1password 8.10.58-41
acpi 1.7-4
acpi_call 1.2.2-256
acpid 2.0.34-2
alacritty 0.15.0-1
amd-ucode 20250109.7673dffd-1
archlinux-wallpaper 1.6.1-7
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat 0.25.0-4
bluez 5.79-1
bluez-utils 5.79-1
brave-bin 1:1.74.50-1
btop 1.4.0-4
btrfs-progs 6.12-2
chezmoi 2.59.0-1
deepin-wallpapers 1:1.7.7-3
dialog 1:1.3_20240619-2
dosfstools 4.2-5
dragon-drop 1.2.0-2
dunst 1.12.1-1
efibootmgr 18-3
elementary-wallpapers 8.0.0-1
evince 46.3.1-2
fastfetch 2.35.0-1
firefox 134.0.2-1
fzf 0.57.0-1
git 2.48.1-1
github-cli 2.65.0-1
gnome-backgrounds 47.0-1
greetd 0.10.3-1
grub 2:2.12-3
grub-btrfs 4.13-2
highlight 4.15-1
imagemagick 7.1.1.43-1
lazygit 0.45.2-1
libreoffice-still 24.2.7-5
linux 6.12.10.arch1-1
linux-firmware 20250109.7673dffd-1
linux-headers 6.12.10.arch1-1
man-db 2.13.0-1
mate-backgrounds 1.28.0-2
mtools 1:4.0.47-1
myrepos 1.20180726-8
neovim 0.10.4-1
network-manager-applet 1.36.0-1
networkmanager 1.50.2-1
nitrogen 1.6.1-6
noto-fonts 1:2025.01.01-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.047-1
ntfs-3g 2022.10.3-1
nvidia 565.77-12
nvidia-settings 565.57.01-1
nvidia-utils 565.77-3
obsidian 1.7.7-1
oh-my-posh 24.19.0-1
ollama-cuda 0.5.7-1
openssh 9.9p1-2
os-prober 1.81-2
pandoc-cli 3.1.12.1-2
pavucontrol 1:6.1-1
pdfannots-git 0.4.r22.g09b9867-1
perl-rename 1.14-4
picom 12.5-1
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
plasma-workspace-wallpapers 6.2.5-1
qmk 1.1.6-1
reflector 2023-3
ripgrep 14.1.1-1
rsync 3.4.1-1
sioyek 2.0.0-7
sof-firmware 2024.09.2-1
stow 2.4.1-1
sxiv 26-2
texlive-basic 2024.2-4
texlive-bibtexextra 2024.2-4
texlive-binextra 2024.2-4
texlive-context 2024.2-4
texlive-fontsextra 2024.2-4
texlive-fontsrecommended 2024.2-4
texlive-fontutils 2024.2-4
texlive-formatsextra 2024.2-4
texlive-games 2024.2-4
texlive-humanities 2024.2-4
texlive-latex 2024.2-4
texlive-latexextra 2024.2-4
texlive-latexrecommended 2024.2-4
texlive-luatex 2024.2-4
texlive-mathscience 2024.2-4
texlive-metapost 2024.2-4
texlive-music 2024.2-4
texlive-pictures 2024.2-4
texlive-plaingeneric 2024.2-4
texlive-pstricks 2024.2-4
texlive-publishers 2024.2-4
texlive-xetex 2024.2-4
timeshift 24.06.6-1
timeshift-autosnap 0.9-1
tlp 1.7.0-1
trash-cli 0.24.5.26-2
ttf-joypixels 8.0.0-2
ufw 0.36.2-5
unzip 6.0-22
vim 9.1.1055-1
wget 1.25.0-1
wpa_supplicant 2:2.11-3
xclip 0.13-6
xdg-user-dirs 0.18-2
xorg-server 21.1.15-1
xorg-xev 1.2.6-1
xorg-xinit 1.4.3-1
xorg-xrandr 1.5.3-1
yay-bin 12.4.2-1
yay-bin-debug 12.4.2-1
zotero 7.0.11-1
zoxide 0.9.6-1
