1password 8.10.58-41
acpi 1.7-4
acpi_call 1.2.2-259
acpid 2.0.34-2
alacritty 0.15.0-1
alsa-utils 1.2.13-2
amd-ucode 20250109.7673dffd-1
archlinux-wallpaper 1.6.1-7
aurutils 20.4-1
autorandr 1.15-1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bluez 5.79-1
bluez-utils 5.79-1
bolt 0.9.8-1
brave-bin 1:1.74.50-1
brightnessctl 0.5.1-3
btop 1.4.0-4
btrfs-progs 6.12-2
chezmoi 2.59.0-1
deepin-wallpapers 1:1.7.7-3
devour 12-2
dosfstools 4.2-5
dragon-drop 1.2.0-2
dunst 1.12.1-1
efibootmgr 18-3
elementary-wallpapers 8.0.0-1
fastfetch 2.35.0-1
firefox 135.0-1
flameshot 12.1.0-5
fzf 0.57.0-1
ghostscript 10.04.0-1
git 2.48.1-1
gnome-backgrounds 47.0-1
greetd 0.10.3-1
highlight 4.15-1
imagemagick 7.1.1.43-1
insync 3.9.4.60020-1
jdk-openjdk 23.0.2.u7-1
lazygit 0.45.2-1
libnotify 0.8.3-1
libreoffice-fresh 24.8.4-2
linux 6.13.1.arch1-1
linux-firmware 20250109.7673dffd-1
linux-headers 6.13.1.arch1-1
man-db 2.13.0-1
mate-backgrounds 1.28.0-2
myrepos 1.20180726-8
neovim 0.10.4-1
network-manager-applet 1.36.0-1
networkmanager 1.50.2-1
nitrogen 1.6.1-6
ntfs-3g 2022.10.3-1
obsidian 1.8.4-2
oh-my-posh 24.19.0-1
ollama 0.5.7-1
ollama-rocm 0.5.7-1
openssh 9.9p1-2
pandoc-cli 3.1.12.1-2
parted 3.6-2
pavucontrol 1:6.1-1
pdfannots-git 0.4.r22.g09b9867-1
perl-rename 1.14-4
picom 12.5-1
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
plasma-workspace-wallpapers 6.2.5-1
power-profiles-daemon 0.23-2
python-pip 25.0-1
qemu-base 9.2.0-2
qmk 1.1.6-1
rebuild-detector 4.4.5-1
reflector 2023-3
ripgrep 14.1.1-1
rsync 3.4.1-2
sioyek 2.0.0-7
smartmontools 7.4-2
sof-firmware 2025.01-1
sxiv 26-2
texlive-basic 2024.2-4
texlive-bibtexextra 2024.2-4
texlive-binextra 2024.2-4
texlive-context 2024.2-4
texlive-fontsextra 2024.2-4
texlive-fontsrecommended 2024.2-4
texlive-fontutils 2024.2-4
texlive-formatsextra 2024.2-4
texlive-games 2024.2-4
texlive-humanities 2024.2-4
texlive-latex 2024.2-4
texlive-latexextra 2024.2-4
texlive-latexrecommended 2024.2-4
texlive-luatex 2024.2-4
texlive-mathscience 2024.2-4
texlive-metapost 2024.2-4
texlive-music 2024.2-4
texlive-pictures 2024.2-4
texlive-plaingeneric 2024.2-4
texlive-pstricks 2024.2-4
texlive-publishers 2024.2-4
texlive-xetex 2024.2-4
timeshift 24.06.6-1
timeshift-autosnap 0.9-1
tk 8.6.16-1
trash-cli 0.24.5.26-2
ufw 0.36.2-5
vim 9.1.1065-1
wget 1.25.0-1
wpa_supplicant 2:2.11-3
xclip 0.13-6
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-video-amdgpu 23.0.0-2
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-server-devel 21.1.15-1
xorg-server-xephyr 21.1.15-1
xorg-server-xnest 21.1.15-1
xorg-server-xvfb 21.1.15-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.3-1
xorg-xinput 1.6.4-2
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.4-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yay-bin 12.4.2-1
yay-bin-debug 12.4.2-1
zellij 0.41.2-1
zotero 7.0.11-1
zoxide 0.9.6-1
zramd 0.9.2-1
